"1";"3";"2";"4";"Adjency and distance matrix descriptors";"Atom and bond counts";"Kier and Hall connectivity and Kappa shape indices";"Partial charge descriptor";"Pharmacophore feature descriptors";"Physical properties"
"1";"25";"";"";"4";"Inf";"Inf";"Inf";"3.33839648042313";"1.83208751461503";"3.33839648042313"
"3";"16";"14";"";"";"-1.65494731656307";"-1.65494731656307";"-2.19722457733622";"-1.41706601978664";"-3.41921588716483";"-1.41706601978664"
"5";"1";"13";"2";"";"-Inf";"-Inf";"-Inf";"-Inf";"-0.298942477270161";"-Inf"
"2";"";"";"13";"";"-1.91238745701667";"-1.91238745701667";"-0.925999546001116";"-1.36524095192206";"-0.177140198051957";"-1.36524095192206"
"4";"";"";"";"12";"Inf";"Inf";"Inf";"Inf";"Inf";"Inf"
"Adjency and distance matrix descriptors";"1.75521459864998";"-Inf";"-1.59885580310356";"Inf";"";"";"";"";"";""
"Atom and bond counts";"1.96165850602345";"-Inf";"-2.13208527516526";"Inf";"";"";"";"";"";""
"Kier and Hall connectivity and Kappa shape indices";"1.55814461804655";"-Inf";"-1.17668066203793";"Inf";"";"";"";"";"";""
"Partial charge descriptor";"1.75521459864998";"-Inf";"-1.17668066203793";"Inf";"";"";"";"";"";""
"Pharmacophore feature descriptors";"";"-1.95606252051933";"0.157061890034717";"Inf";"";"";"";"";"";""
"Physical properties";"1.75521459864998";"-Inf";"-1.59885580310356";"Inf";"";"";"";"";"";""
"Chi2";"5.0e-04";"201.9";"";"";"";"";"";"";"";""
"Cramer's V";"0.820323938394819";"";"";"";"";"";"";"";"";""
"t-test (mapping)";"1.0e+00";"";"";"";"";"";"";"";"";""
