"3";"1";"2";"4";"Adjency and distance matrix descriptors";"Atom and bond counts";"Kier and Hall connectivity and Kappa shape indices";"Partial charge descriptor";"Pharmacophore feature descriptors";"Physical properties"
"4";"28";"9";"";"";"-2.22075507474641";"-2.22075507474641";"-2.77258872223978";"-1.98100146886658";"-2.77258872223978";"-1.98100146886658"
"5";"";"23";"";"6";"Inf";"Inf";"Inf";"3.33839648042313";"1.83208751461503";"3.33839648042313"
"2";"";"";"3";"8";"Inf";"Inf";"Inf";"Inf";"Inf";"Inf"
"1";"4";"";"5";"";"-Inf";"-Inf";"-Inf";"-Inf";"-Inf";"-Inf"
"3";"5";"";"8";"1";"-1.05605267424931";"-1.05605267424931";"-0.680877087968131";"-1.05605267424931";"1.05605267424931";"-1.05605267424931"
"Adjency and distance matrix descriptors";"-4.02535169073515";"2.68350909218609";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Atom and bond counts";"-Inf";"3.074308705305";"-0.931558204004943";"Inf";"";"";"";"";"";""
"Kier and Hall connectivity and Kappa shape indices";"-Inf";"2.68350909218609";"-0.298942477270161";"Inf";"";"";"";"";"";""
"Partial charge descriptor";"-3.50530711541833";"2.3575672274114";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Pharmacophore feature descriptors";"-1.98100146886658";"0.369097463937289";"0.606135803570315";"Inf";"";"";"";"";"";""
"Physical properties";"-3.50530711541833";"2.07247287236374";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Chi2";"5.0e-04";"129.3";"";"";"";"";"";"";"";""
"Cramer's V";"0.656584019657842";"";"";"";"";"";"";"";"";""
"t-test (mapping)";"1.0e+00";"";"";"";"";"";"";"";"";""
