"3";"1";"2";"4";"Adjency and distance matrix descriptors";"Atom and bond counts";"Kier and Hall connectivity and Kappa shape indices";"Partial charge descriptor";"Pharmacophore feature descriptors";"Physical properties"
"1";"";"23";"";"6";"Inf";"Inf";"Inf";"3.33839648042313";"1.83208751461503";"3.33839648042313"
"3";"21";"9";"";"";"-1.65494731656307";"-1.65494731656307";"-2.19722457733622";"-1.41706601978664";"-3.41921588716483";"-1.41706601978664"
"5";"15";"";"1";"";"-Inf";"-Inf";"-Inf";"-Inf";"-0.298942477270161";"-Inf"
"2";"1";"";"12";"";"-1.91238745701667";"-1.91238745701667";"-0.925999546001116";"-1.36524095192206";"-0.177140198051957";"-1.36524095192206"
"4";"";"";"3";"9";"Inf";"Inf";"Inf";"Inf";"Inf";"Inf"
"Adjency and distance matrix descriptors";"-4.02535169073515";"2.68350909218609";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Atom and bond counts";"-Inf";"3.074308705305";"-0.931558204004943";"Inf";"";"";"";"";"";""
"Kier and Hall connectivity and Kappa shape indices";"-Inf";"2.68350909218609";"-0.298942477270161";"Inf";"";"";"";"";"";""
"Partial charge descriptor";"-3.50530711541833";"2.3575672274114";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Pharmacophore feature descriptors";"-1.98100146886658";"0.369097463937289";"0.606135803570315";"Inf";"";"";"";"";"";""
"Physical properties";"-3.50530711541833";"2.07247287236374";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Chi2";"5.0e-04";"171.0";"";"";"";"";"";"";"";""
"Cramer's V";"0.754919318733132";"";"";"";"";"";"";"";"";""
"t-test (mapping)";"1.0e+00";"";"";"";"";"";"";"";"";""
