"2";"4";"1";"3";"Adjency and distance matrix descriptors";"Atom and bond counts";"Kier and Hall connectivity and Kappa shape indices";"Partial charge descriptor";"Pharmacophore feature descriptors";"Physical properties"
"2";"2";"11";"";"";"1.91238745701667";"Inf";"Inf";"1.91238745701667";"Inf";"Inf"
"5";"13";"";"";"7";"-2.08824109563168";"-Inf";"-2.60268968544438";"-2.08824109563168";"-0.769321411455561";"-Inf"
"3";"";"";"16";"20";"-2.1380633589013";"-2.1380633589013";"-2.68677280265493";"-1.89939013342042";"-2.68677280265493";"-1.89939013342042"
"1";"";"5";"10";"";"Inf";"Inf";"Inf";"Inf";"0.810930216216329";"Inf"
"4";"";"";"16";"";"Inf";"Inf";"Inf";"1.70556675785926";"Inf";"1.70556675785926"
"Adjency and distance matrix descriptors";"-1.59885580310356";"Inf";"1.75521459864998";"-Inf";"";"";"";"";"";""
"Atom and bond counts";"-2.13208527516526";"Inf";"1.96165850602345";"-Inf";"";"";"";"";"";""
"Kier and Hall connectivity and Kappa shape indices";"-1.17668066203793";"Inf";"1.55814461804655";"-Inf";"";"";"";"";"";""
"Partial charge descriptor";"-1.17668066203793";"Inf";"1.75521459864998";"-Inf";"";"";"";"";"";""
"Pharmacophore feature descriptors";"0.157061890034717";"Inf";"";"-1.95606252051933";"";"";"";"";"";""
"Physical properties";"-1.59885580310356";"Inf";"1.75521459864998";"-Inf";"";"";"";"";"";""
"Chi2";"5.0e-04";"148.1";"";"";"";"";"";"";"";""
"Cramer's V";"0.702614563190919";"";"";"";"";"";"";"";"";""
"t-test (mapping)";"1.0e+00";"";"";"";"";"";"";"";"";""
