"4";"5";"2";"1";"3";"Adjency and distance matrix descriptors";"Atom and bond counts";"Kier and Hall connectivity and Kappa shape indices";"Partial charge descriptor";"Pharmacophore feature descriptors";"Physical properties"
"3";"36";"";"";"";"";"-2.1380633589013";"-2.1380633589013";"-2.68677280265493";"-1.89939013342042";"-2.68677280265493";"-1.89939013342042"
"1";"";"14";"1";"";"";"Inf";"Inf";"Inf";"Inf";"0.810930216216329";"Inf"
"4";"";"15";"";"";"1";"Inf";"Inf";"Inf";"1.70556675785926";"Inf";"1.70556675785926"
"2";"";"";"10";"";"3";"1.91238745701667";"Inf";"Inf";"1.91238745701667";"Inf";"Inf"
"5";"1";"";"";"9";"10";"-2.08824109563168";"-Inf";"-2.60268968544438";"-2.08824109563168";"-0.769321411455561";"-Inf"
"Adjency and distance matrix descriptors";"-2.22075507474641";"Inf";"Inf";"-Inf";"-1.05605267424931";"";"";"";"";"";""
"Atom and bond counts";"-2.22075507474641";"Inf";"Inf";"-Inf";"-1.05605267424931";"";"";"";"";"";""
"Kier and Hall connectivity and Kappa shape indices";"-2.77258872223978";"Inf";"Inf";"-Inf";"-0.680877087968131";"";"";"";"";"";""
"Partial charge descriptor";"-1.98100146886658";"3.33839648042313";"Inf";"-Inf";"-1.05605267424931";"";"";"";"";"";""
"Pharmacophore feature descriptors";"-2.77258872223978";"1.83208751461503";"Inf";"-Inf";"1.05605267424931";"";"";"";"";"";""
"Physical properties";"-1.98100146886658";"3.33839648042313";"Inf";"-Inf";"-1.05605267424931";"";"";"";"";"";""
"Chi2";"5.0e-04";"247.6";"";"";"";"";"";"";"";"";""
"Cramer's V";"0.786802362054863";"";"";"";"";"";"";"";"";"";""
"t-test (mapping)";"1.0e+00";"";"";"";"";"";"";"";"";"";""
