"3";"1";"2";"4";"Adjency and distance matrix descriptors";"Atom and bond counts";"Kier and Hall connectivity and Kappa shape indices";"Partial charge descriptor";"Pharmacophore feature descriptors";"Physical properties"
"3";"27";"9";"";"";"-2.1380633589013";"-2.1380633589013";"-2.68677280265493";"-1.89939013342042";"-2.68677280265493";"-1.89939013342042"
"5";"9";"";"11";"";"-2.08824109563168";"-Inf";"-2.60268968544438";"-2.08824109563168";"-0.769321411455561";"-Inf"
"4";"1";"15";"";"";"Inf";"Inf";"Inf";"1.70556675785926";"Inf";"1.70556675785926"
"1";"";"8";"";"7";"Inf";"Inf";"Inf";"Inf";"0.810930216216329";"Inf"
"2";"";"";"5";"8";"1.91238745701667";"Inf";"Inf";"1.91238745701667";"Inf";"Inf"
"Adjency and distance matrix descriptors";"-4.02535169073515";"2.68350909218609";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Atom and bond counts";"-Inf";"3.074308705305";"-0.931558204004943";"Inf";"";"";"";"";"";""
"Kier and Hall connectivity and Kappa shape indices";"-Inf";"2.68350909218609";"-0.298942477270161";"Inf";"";"";"";"";"";""
"Partial charge descriptor";"-3.50530711541833";"2.3575672274114";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Pharmacophore feature descriptors";"-1.98100146886658";"0.369097463937289";"0.606135803570315";"Inf";"";"";"";"";"";""
"Physical properties";"-3.50530711541833";"2.07247287236374";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Chi2";"5.0e-04";"134.6";"";"";"";"";"";"";"";""
"Cramer's V";"0.669787309015455";"";"";"";"";"";"";"";"";""
"t-test (mapping)";"1.0e+00";"";"";"";"";"";"";"";"";""
