"3";"1";"4";"2";"5";"Adjency and distance matrix descriptors";"Atom and bond counts";"Kier and Hall connectivity and Kappa shape indices";"Partial charge descriptor";"Pharmacophore feature descriptors";"Physical properties"
"3";"30";"";"";"";"6";"-2.1380633589013";"-2.1380633589013";"-2.68677280265493";"-1.89939013342042";"-2.68677280265493";"-1.89939013342042"
"1";"";"14";"1";"";"";"Inf";"Inf";"Inf";"Inf";"0.810930216216329";"Inf"
"4";"";"15";"";"";"1";"Inf";"Inf";"Inf";"1.70556675785926";"Inf";"1.70556675785926"
"2";"";"";"11";"2";"";"1.91238745701667";"Inf";"Inf";"1.91238745701667";"Inf";"Inf"
"5";"";"";"";"11";"9";"-2.08824109563168";"-Inf";"-2.60268968544438";"-2.08824109563168";"-0.769321411455561";"-Inf"
"Adjency and distance matrix descriptors";"-1.65494731656307";"Inf";"Inf";"-1.91238745701667";"-Inf";"";"";"";"";"";""
"Atom and bond counts";"-1.65494731656307";"Inf";"Inf";"-1.91238745701667";"-Inf";"";"";"";"";"";""
"Kier and Hall connectivity and Kappa shape indices";"-2.19722457733622";"Inf";"Inf";"-0.925999546001116";"-Inf";"";"";"";"";"";""
"Partial charge descriptor";"-1.41706601978664";"3.33839648042313";"Inf";"-1.36524095192206";"-Inf";"";"";"";"";"";""
"Pharmacophore feature descriptors";"-3.41921588716483";"1.83208751461503";"Inf";"-0.177140198051957";"-0.298942477270161";"";"";"";"";"";""
"Physical properties";"-1.41706601978664";"3.33839648042313";"Inf";"-1.36524095192206";"-Inf";"";"";"";"";"";""
"Chi2";"5.0e-04";"235.9";"";"";"";"";"";"";"";"";""
"Cramer's V";"0.767887186492083";"";"";"";"";"";"";"";"";"";""
"t-test (mapping)";"1.0e+00";"";"";"";"";"";"";"";"";"";""
