"";"1";"2";"3";"4";"5";"class"
"1";8,9475702513252e-26;0,843185098195374;2,78411236854031e-14;9,19648995151536e-15;0,156814901804589;2
"2";1,03795755305530e-26;0,000220465617119594;5,35665803953999e-09;3,80418788606511e-13;0,999779529025842;5
"3";7,03456452654724e-29;0,00377715464067167;7,08203744471844e-12;2,6290267623242e-15;0,996222845352244;5
"4";5,52201902471851e-29;0,000395416727008635;1,02086275709562e-10;6,96222755422812e-15;0,999604583170898;5
"5";3,13949453622101e-27;0,957226184601823;3,5762196832708e-16;2,93221083887374e-16;0,0427738153981768;2
"6";6,29464794043294e-24;0,999972231554397;1,42801229624598e-19;3,37969947452619e-16;2,77684456027637e-05;2
"7";1,58260943334727e-28;0,096624118345214;1,43622142788461e-13;1,03271508491369e-15;0,903375881654641;5
"8";1,17853524977730e-25;0,35766972453568;9,80197797926642e-13;5,04650318811995e-14;0,64233027546329;5
"9";3,96673355256378e-31;4,1486842834195e-06;1,61586332611785e-09;1,63478530398802e-15;0,999995849699852;5
"10";3,09670392377018e-27;0,00133521855430582;2,88230783535709e-10;6,84106375854227e-14;0,998664781157395;5
"11";7,76469168903535e-25;0,998725835481202;2,90534055146082e-17;1,12919735260337e-15;0,00127416451879698;2
"12";6,12057912321906e-27;0,193549008485055;4,98122294845766e-13;9,92178844800964e-15;0,806450991514437;5
"13";1,68438755991677e-28;0,000136395773263100;8,87880035607566e-10;2,36414386906746e-14;0,999863603338833;5
"14";4,40956992653571e-34;1,59701626263357e-05;5,48864354255905e-12;5,50824627383253e-18;0,999984029831885;5
"15";1,30262209870275e-25;0,999999073228155;6,76263709505218e-23;1,21164985347074e-18;9,26771845509786e-07;2
"16";1,22044462205553e-26;0,999999999243943;9,37176302021887e-29;1,29611130672609e-21;7,56057380956699e-10;2
"17";1,85098223752409e-25;0,999971392985212;1,88506757120031e-20;2,31133424110997e-17;2,86070147881316e-05;2
"18";6,858592399126e-25;0,850414597604044;7,88542998924154e-14;3,98012245517959e-14;0,149585402395837;2
