"";"1";"2";"3";"4";"class"
"AL";4,23500212868158e-21;0,999916902595641;5,8548317392723e-21;8,30974043585906e-05;2
"AK";1,33886605833834e-32;4,38201770216933e-63;3,45743011359674e-60;1;4
"AZ";4,476671909213e-05;1,58997769972308e-07;1,21187911776728e-07;0,999954953095226;4
"AR";7,29106355692e-12;0,999820072820492;2,04379865605774e-14;0,000179927172196997;2
"CA";1,78782060806517e-17;8,53510120913063e-33;8,17866819021595e-18;1;4
"CO";0,99840781841865;9,7969440654804e-27;2,58446163975939e-07;0,00159192313518514;1
"CT";0,997865106796184;1,51723432970642e-25;1,31197872817740e-06;0,00213358122508762;1
"DE";0,920626765074495;9,29805714774796e-12;0,0644363688857767;0,0149368660304296;1
"FL";6,90570015962949e-07;1,58070083624536e-07;0,0115193012436523;0,988479850116248;4
"GA";5,1709450317163e-18;0,999862183809773;2,02257397039966e-14;0,000137816190206892;2
"HI";7,36365330859416e-06;5,36091870966688e-22;5,59672421651836e-17;0,999992636346691;4
"ID";0,99990780145872;2,29320717609103e-20;3,59642006303564e-08;9,21625770798236e-05;1
"IL";5,04420135310248e-07;1,02412402998604e-15;0,997933115852601;0,00206637972726234;3
"IN";0,078924871443991;2,88518371293411e-13;0,920788115230048;0,000287013325672465;3
"IA";0,999970751592505;8,88125503936822e-29;1,41758770786415e-09;2,92469899074241e-05;1
"KS";0,999881290838016;3,70709043754792e-25;6,27439774533479e-08;0,000118646418006435;1
"KY";1,96256899820915e-10;0,99982145091831;2,09052195683251e-09;0,000178546794910979;2
"LA";1,30764954738572e-23;0,999357645653022;2,64769381111655e-26;0,000642354346977902;2
"ME";0,998999762668497;3,80709458167615e-16;1,30663619371914e-08;0,00100022426514064;1
"MD";0,00105791989187297;1,04453830510612e-13;0,995823678714955;0,00311840139306747;3
"MA";0,997237893950629;1,8626093607425e-19;0,00114123941141519;0,00162086663795625;1
"MI";5,96297883553252e-06;3,13538378946909e-13;0,999534248601462;0,000459788419388568;3
"MN";0,999915513892648;5,76769356280431e-30;6,23048904367808e-10;8,44854843033651e-05;1
"MS";5,49311074526941e-23;0,999971599260364;8,7735566253526e-27;2,84007396360866e-05;2
"MO";0,00610648438311099;9,58222244679756e-08;0,991592274604386;0,00230114519027807;3
"MT";0,99841756208392;5,38794427319772e-20;2,13657100426746e-07;0,00158222425897892;1
"NE";0,999973007655676;2,46788704771190e-27;2,82799485548671e-10;2,69920615241737e-05;1
"NV";0,000136471663244451;8,1977829350558e-24;3,84108430631959e-09;0,999863524495671;4
"NH";0,999959676571938;3,34432729452284e-22;1,93041495690546e-08;4,03041239121081e-05;1
"NJ";0,010010718190069;7,51022789398277e-17;0,987890572522698;0,00209870928723324;3
"NM";2,01478940074078e-05;0,00635982379244887;3,92656947972022e-10;0,993620027920887;4
"NY";1,8555541654435e-11;1,41380753182703e-15;0,000116543532141169;0,999883456449302;4
"NC";3,07420605395412e-14;0,999963823295387;4,86849618951846e-11;3,61766558976543e-05;2
"ND";0,999174168204144;1,53922410176894e-29;1,23891026437268e-11;0,000825831783467202;1
"OH";0,000188486388102807;1,52268714368662e-15;0,999551231054371;0,00026028255752439;3
"OK";0,976471249181007;1,41460822658179e-07;0,00475356897798741;0,0187750403801832;1
"OR";0,979803336718906;3,62875329889790e-21;1,36640025605606e-07;0,0201965266410685;1
"PA";9,20967271494537e-05;4,03750073386965e-13;0,99831499442201;0,00159290885043813;3
"RI";0,997561715731575;2,06442845173832e-14;1,73338633565280e-06;0,00243655088206819;1
"SC";3,46126329223147e-21;0,999990126971724;8,48382190671338e-22;9,87302827630766e-06;2
"SD";0,999961194348172;2,36728129741233e-25;1,59656535550045e-11;3,88056358620277e-05;1
"TN";8,10275528122772e-11;0,99985738622404;9,12557094786678e-09;0,000142604569362183;2
"TX";7,21203025498741e-17;3,52332810923832e-10;3,11653812214674e-17;0,999999999647667;4
"UT";0,999313846757584;5,34410514364198e-29;8,3298221015606e-14;0,000686153242332543;1
"VT";0,99988440357023;1,37342012872560e-19;1,24028651885062e-08;0,000115584026904232;1
"VA";3,64640168353358e-05;7,86686980327e-05;0,993536429324374;0,00634843796075767;3
"WA";0,789961172979747;3,89571440171779e-22;9,44266900486928e-07;0,210037882753353;1
"WV";8,07541774494623e-06;0,987766300531597;2,91213721605486e-07;0,0122253328369363;2
"WI";0,999942722627194;1,42433040681385e-23;9,80030768715033e-07;5,62973420378983e-05;1
"WY";0,99428026198776;4,24682982927334e-21;1,17663093681185e-06;0,00571856138130297;1
